ID,gender,age,dress,height,frames,test
197,F,38,1,265,75,False
198,M,7,0,227,76,True
199,M,9,0,232,70,False
200,M,6,0,226,82,True
201,F,39,1,261,90,False
202,F,7,0,213,88,True
203,F,7,0,216,77,False
204,F,35,0,289,102,True
205,M,38,0,314,84,False
206,F,29,0,281,74,True
207,F,27,0,281,82,False
208,F,42,0,305,86,True
209,F,28,1,278,73,False
210,F,23,1,281,78,True
211,M,25,0,311,79,False
212,M,8,0,222,70,True
213,M,29,0,305,82,False
214,M,10,0,226,69,True
215,F,28,1,284,85,False
216,F,45,0,273,75,True
217,M,27,0,304,67,False
218,F,31,0,298,63,True
219,M,42,0,305,96,False
220,M,7,0,216,83,True
221,M,7,0,230,122,False
222,M,31,0,294,71,True
223,F,29,1,292,69,False
224,M,37,0,303,66,True
225,F,29,1,294,81,False
226,F,59,0,297,66,True
227,F,43,0,277,84,False
228,M,8,0,223,86,True
229,F,73,0,276,84,False
230,M,30,0,299,90,True
231,F,35,0,282,96,False
232,M,31,0,295,68,True
233,F,43,0,283,67,False
234,M,30,0,295,85,True
235,F,38,0,274,76,False
236,M,16,0,295,70,True
237,M,16,0,318,67,False
238,M,15,0,0,0,True
239,M,11,0,227,73,False
240,F,10,0,231,64,True
241,F,11,0,260,59,False
242,M,11,0,248,48,True
243,F,54,0,275,74,False
244,F,10,0,232,65,True
245,F,10,0,256,63,False
246,M,12,0,0,45,True
247,M,33,0,292,67,False
248,F,28,1,266,74,True
249,F,10,1,250,81,False
250,F,11,1,252,64,True
251,M,28,0,302,77,False
252,M,28,0,313,91,True
253,F,21,0,269,84,False
254,F,33,0,288,68,True
255,F,11,1,234,78,False
256,F,32,0,283,85,True
257,M,6,0,0,0,False
258,M,9,0,264,87,True
259,F,27,0,289,89,False
260,M,39,0,321,73,True
261,M,33,0,299,68,False
262,M,14,0,281,89,True
263,F,50,0,285,84,False
264,M,49,0,318,83,True
265,F,44,1,290,85,False
266,M,27,0,305,68,True
267,M,27,0,321,84,False
268,M,-,0,0,42,True
269,M,43,0,283,92,False
270,F,33,0,274,89,True
271,F,43,0,308,84,False
272,F,9,1,231,96,True
273,F,38,1,299,67,False
274,F,40,1,286,64,True
275,M,43,0,285,84,False
276,M,12,0,292,75,True
277,F,39,1,290,74,False
278,M,11,0,270,80,True
279,M,16,0,311,120,False
280,M,64,0,328,77,True
281,M,15,0,308,80,False
282,M,28,0,316,89,True
283,M,15,0,318,65,False
284,M,15,0,321,85,True
285,F,37,1,294,91,False
286,M,46,0,340,90,True
287,M,7,0,220,75,False
288,F,15,1,269,75,True
289,M,34,0,305,73,False
290,F,53,0,293,78,True
291,M,53,0,340,68,False
292,F,28,0,309,106,True
293,F,32,1,284,76,False
294,M,32,0,318,95,True
295,F,21,0,272,86,False
296,M,16,0,315,67,True
297,M,15,0,290,80,False
298,M,42,0,304,69,True
299,M,59,0,285,70,False
300,M,32,0,308,74,True
301,F,30,0,310,92,False
302,F,21,1,282,82,True
303,F,26,0,291,56,False
304,M,35,0,334,66,True
305,M,15,0,312,80,False
306,M,15,0,295,88,True
307,M,15,0,0,80,False
308,M,16,0,317,78,True
309,M,15,0,288,78,False
310,M,16,0,303,103,True
311,F,21,1,289,54,False
312,M,22,0,350,64,True
313,F,27,0,295,89,False
314,F,26,0,266,108,True
315,M,30,0,328,74,False
316,F,26,0,291,70,True
317,M,25,0,286,60,False
318,M,24,0,335,71,True
319,M,25,0,336,72,False
320,F,36,0,296,76,True
321,M,34,0,307,82,False
322,M,21,0,309,80,True
323,M,9,0,243,84,False
324,F,28,1,290,86,True
325,F,7,1,222,86,False
326,F,37,0,286,81,True
327,M,30,0,321,91,False
328,M,36,0,314,113,True
329,F,30,1,292,104,False
330,F,36,0,252,76,True
331,F,33,1,272,78,False
332,M,32,0,310,77,True
333,M,7,0,207,65,False
334,M,5,0,202,69,True
335,M,37,0,316,85,False
336,F,37,0,0,0,True
337,M,63,0,297,75,False
338,M,29,0,332,93,True
339,F,57,0,276,90,False
340,F,29,1,281,100,True
341,M,33,0,319,89,False
342,F,4,1,186,74,True
343,M,13,0,302,74,False
344,M,23,0,0,71,True
345,M,27,0,0,0,False
346,M,22,0,321,85,True
347,M,30,0,311,90,False
348,F,18,0,280,75,True
349,M,15,0,284,88,False
350,M,16,0,335,58,True
351,M,16,0,297,73,False
352,M,15,0,303,91,True
353,M,16,0,308,85,False
354,M,-,0,267,72,True
355,F,50,0,289,90,False
356,M,51,0,304,104,True
357,M,26,0,310,96,False
358,M,42,0,315,85,True
359,M,23,0,292,86,False
360,M,16,0,299,65,True
361,F,35,1,276,81,False
362,F,55,0,264,58,True
363,F,52,0,268,71,False
364,F,23,0,298,87,True
365,M,16,0,300,72,False
366,M,26,0,319,82,True
367,M,24,0,334,75,False
368,M,57,0,311,71,True
369,M,27,0,296,93,False
370,F,38,0,257,71,True
371,M,41,0,301,67,False
372,F,28,0,282,74,True
373,F,31,0,266,78,False
374,F,15,1,281,78,True
375,M,47,0,299,69,False
376,M,8,0,207,102,True
377,M,10,0,237,59,False
378,F,49,1,263,84,True
379,F,-,1,273,75,False
380,M,33,0,305,59,True
381,F,44,0,259,83,False
382,M,9,0,233,82,True
383,M,13,0,267,74,False
384,F,9,0,231,81,True
385,M,23,0,306,67,False
386,M,23,0,283,78,True
387,M,10,0,259,76,False
388,M,15,0,291,55,True
389,F,16,1,260,46,False
390,M,29,0,318,105,True
391,F,47,1,277,78,False
392,F,9,1,232,106,True
393,M,41,0,319,82,False
394,M,75,0,298,86,True
395,M,12,0,240,78,False
396,M,14,0,301,84,True
397,M,31,0,297,83,False
398,F,27,1,268,85,True
399,M,5,0,0,0,False
400,F,5,0,0,0,True
401,F,38,1,277,75,False
402,M,15,0,301,73,True
403,M,50,0,289,75,False
404,M,5,0,0,0,True
405,F,42,0,0,0,False
406,M,43,0,279,83,True
407,F,20,1,293,91,False
408,M,15,0,290,72,True
409,F,26,1,282,93,False
410,M,16,0,304,99,True
411,M,15,0,309,95,False
412,M,11,0,235,62,True
413,M,9,0,215,81,False
414,F,46,0,283,81,True
415,M,8,0,231,63,False
416,M,47,0,298,70,True
417,M,10,0,243,58,False
418,F,40,0,282,73,True
419,M,24,0,299,88,False
420,M,10,0,233,115,True
421,M,57,0,296,71,False
422,F,8,1,213,98,True
423,M,47,0,318,78,False
424,F,43,0,0,0,True
425,M,43,0,287,69,False
426,M,35,0,298,78,True
427,F,5,0,0,0,False
428,M,9,0,229,75,True
429,M,7,0,198,74,False
430,F,45,0,278,74,True
431,M,42,0,301,71,False
432,F,50,0,290,87,True
433,F,28,1,291,70,False
434,M,30,0,294,69,True
435,M,31,0,294,75,False
436,F,29,1,286,103,True
437,M,47,0,309,68,False
438,M,19,0,300,54,True
439,F,20,0,0,0,False
440,M,-,0,314,90,True
441,M,42,0,295,72,False
442,F,48,0,294,68,True
443,F,54,0,276,83,False
444,F,57,1,287,75,True
445,M,48,0,302,89,False
446,M,8,0,227,94,True
447,F,47,1,278,93,False
448,M,68,0,296,101,True
449,F,-,0,293,70,False
450,M,-,0,222,75,True
451,F,39,1,296,75,False
452,F,33,1,284,67,True
453,M,42,0,314,74,False
454,F,5,1,188,90,True
455,F,35,1,286,80,False
456,M,9,0,231,63,True
457,F,8,1,225,69,False
458,F,43,0,284,88,True
459,M,44,0,301,73,False
460,F,68,0,264,90,True
461,M,40,0,316,83,False
462,F,26,1,276,76,True
463,M,32,0,306,50,False
464,F,14,1,262,88,True
465,F,37,0,0,0,False
466,F,30,0,291,67,True
467,M,71,0,316,86,False
468,M,28,0,328,78,True
469,M,28,0,307,76,False
470,F,6,1,232,83,True
471,F,39,0,294,81,False
472,M,16,0,316,65,True
473,M,16,0,312,72,False
474,M,16,0,302,90,True
475,M,16,0,293,85,False
476,M,16,0,322,64,True
477,F,50,1,262,87,False
478,M,7,0,223,75,True
479,F,7,1,210,87,False
480,F,35,1,273,82,True
481,F,65,0,268,87,False
482,M,9,0,240,85,True
483,M,5,0,0,0,False
484,F,39,0,265,71,True
485,M,39,0,306,62,False
486,M,53,0,289,74,True
487,F,49,0,281,75,False
488,M,7,0,239,66,True
489,F,10,0,264,75,False
490,M,26,0,311,95,True
491,M,10,0,0,0,False
492,F,24,0,278,97,True
493,M,10,0,231,65,False
494,M,38,0,345,77,True
495,F,43,0,301,57,False
496,M,36,0,307,87,True
497,M,22,0,312,90,False
498,M,48,0,296,85,True
499,M,25,0,285,120,False
500,F,27,0,309,88,True
501,M,10,0,256,62,False
502,M,28,0,340,94,True
503,M,48,0,316,88,False
504,M,9,0,243,87,True
505,F,35,0,283,84,False
506,M,25,0,295,63,True
507,M,27,0,0,0,False
508,F,24,1,268,72,True
509,F,25,0,273,68,False
510,F,21,1,277,76,True
511,F,25,0,292,82,False
512,F,25,1,282,70,True
513,F,30,0,278,86,False
514,M,28,0,288,74,True
515,M,29,0,319,72,False
516,F,25,1,288,79,True
517,M,41,0,288,78,False
518,F,10,1,240,64,True
519,F,25,1,290,73,False
520,M,25,0,302,76,True
521,M,10,0,260,72,False
522,M,12,0,274,66,True
523,F,10,1,260,61,False
524,M,44,0,323,63,True
525,M,5,0,178,112,False
526,F,21,1,291,86,True
527,M,36,0,287,62,False
528,M,20,0,324,83,True
529,F,24,0,278,67,False
530,M,12,0,309,68,True
531,M,19,0,308,55,False
532,F,29,1,274,68,True
533,M,28,0,299,67,False
534,F,7,0,217,86,True
535,F,9,0,251,78,False
536,F,42,1,303,70,True
537,M,35,0,288,58,False
538,M,51,0,303,73,True
539,F,24,1,279,69,False
540,F,25,1,289,60,True
541,M,9,0,248,98,False
542,M,8,0,222,68,True
543,F,7,0,0,0,False
544,M,10,0,263,71,True
545,M,6,0,183,69,False
546,F,38,0,277,74,True
547,M,43,0,317,76,False
548,F,25,1,280,91,True
549,F,39,0,292,78,False
550,M,25,0,333,77,True
551,M,27,0,309,75,False
552,F,27,0,292,72,True
553,M,12,0,251,67,False
554,M,28,0,300,79,True
555,F,25,1,269,80,False
556,M,28,0,302,74,True
557,F,27,1,280,84,False
558,F,54,0,278,65,True
559,F,55,0,287,91,False
560,F,9,0,229,77,True
561,M,31,0,298,81,False
562,F,36,1,260,62,True
563,M,37,0,295,78,False
564,F,22,0,293,63,True
565,F,55,0,273,76,False
566,M,42,0,297,72,True
567,F,38,1,265,81,False
568,F,46,0,0,0,True
569,M,39,0,318,106,False
570,F,48,0,299,79,True
571,M,7,0,243,96,False
572,F,24,1,273,55,True
573,M,42,0,304,70,False
574,M,24,0,302,89,True
575,F,41,0,279,60,False
576,F,26,1,295,81,True
577,M,25,0,311,77,False
578,F,18,1,279,70,True
579,F,66,0,265,353,False
580,F,30,0,262,80,True
581,F,53,1,274,91,False
582,M,29,0,328,63,True
583,M,20,0,318,74,False
584,F,20,1,275,81,True
585,F,26,1,277,89,False
586,F,26,0,298,89,True
587,F,18,0,296,61,False
588,M,26,0,329,73,True
589,M,-,0,231,76,False
590,F,28,1,287,76,True
591,M,66,0,304,86,False
592,M,37,0,310,73,True
593,F,18,0,285,71,False
594,F,18,1,271,79,True
595,F,26,1,266,67,False
596,M,35,0,319,89,True
597,F,30,0,280,73,False
598,M,25,0,299,103,True
599,F,31,0,270,87,False
600,M,34,0,287,81,True
601,F,25,0,298,90,False
602,M,27,0,295,83,True
603,M,11,0,233,72,False
604,F,26,0,268,80,True
605,M,41,0,311,53,False
606,M,15,0,287,61,True
607,F,9,0,251,81,False
608,M,27,0,304,87,True
609,F,31,1,284,73,False
610,M,57,0,314,59,True
611,F,28,0,303,75,False
612,F,27,0,274,101,True
613,F,31,1,273,86,False
614,F,27,1,279,106,True
615,M,33,0,308,74,False
616,M,35,0,294,74,True
617,F,37,1,274,90,False
618,M,27,0,291,83,True
619,F,43,1,276,66,False
620,M,20,0,324,93,True
621,M,10,0,254,80,False
622,M,23,0,309,74,True
623,M,18,0,289,93,False
624,F,7,1,216,57,True
625,F,31,0,286,101,False
626,M,32,0,310,85,True
627,M,30,0,340,77,False
628,F,48,1,288,74,True
629,F,22,0,297,77,False
630,M,15,0,292,68,True
631,F,23,0,271,72,False
632,M,24,0,304,80,True
633,F,10,0,245,93,False
634,M,23,0,300,70,True
635,F,40,0,273,90,False
636,M,8,0,222,56,True
637,F,10,1,231,84,False
638,M,44,0,306,71,True
639,F,42,0,260,95,False
640,M,42,0,289,66,True
641,F,22,0,272,93,False
642,M,27,0,301,80,True
643,M,43,0,294,57,False
644,M,33,0,316,73,True
645,F,5,1,183,83,False
646,F,26,1,272,76,True
647,M,8,0,239,94,False
648,M,40,0,311,63,True
649,M,42,0,316,116,False
650,M,18,0,309,71,True
651,F,42,0,284,99,False
652,F,16,0,264,108,True
653,F,48,0,280,60,False
654,M,12,0,252,77,True
655,F,9,1,235,88,False
656,F,7,1,211,75,True
657,M,39,0,328,70,False
658,M,10,0,225,87,True
659,F,11,0,263,68,False
660,F,40,0,279,82,True
661,M,28,0,324,81,False
662,F,26,1,270,85,True
663,F,53,0,271,90,False
664,M,44,0,294,91,True
665,M,52,0,315,93,False
666,M,9,0,243,89,True
667,M,8,0,213,72,False
668,F,49,0,275,88,True
669,M,8,0,220,65,False
670,F,27,1,274,95,True
671,M,26,0,326,99,False
672,M,22,0,316,74,True
673,M,8,0,219,75,False
674,M,18,0,301,76,True
675,F,25,0,274,75,False
676,F,-,1,287,72,True
677,M,7,0,221,90,False
678,M,41,0,295,86,True
679,M,47,0,333,67,False
680,M,30,0,321,58,True
681,M,58,0,313,79,False
682,F,44,1,285,85,True
683,M,41,0,287,74,False
684,M,45,0,284,92,True
685,F,6,1,193,113,False
686,F,6,1,190,73,True
687,F,41,0,252,90,False
688,F,10,0,268,71,True
689,F,9,1,239,80,False
690,F,18,0,294,59,True
691,M,46,0,304,92,False
692,M,40,0,301,74,True
693,M,31,0,315,81,False
694,M,9,0,227,87,True
695,M,15,0,306,77,False
696,M,11,0,259,76,True
697,F,42,1,281,85,False
698,M,34,0,305,85,True
699,M,40,0,297,52,False
700,F,5,1,186,87,True
701,F,43,1,280,72,False
702,F,52,0,264,46,True
703,M,7,0,196,71,False
704,M,43,0,311,67,True
705,M,59,0,316,63,False
706,M,11,0,244,77,True
707,F,41,0,282,72,False
708,M,54,0,304,70,True
709,F,7,1,234,77,False
710,M,9,0,245,75,True
711,M,29,0,306,96,False
712,F,42,0,308,67,True
713,F,7,1,221,71,False
714,M,7,0,220,63,True
715,F,41,0,272,77,False
716,M,10,0,253,89,True
717,M,45,0,305,70,False
718,M,43,0,296,74,True
719,F,44,0,268,51,False
720,M,42,0,288,67,True
721,F,40,0,271,72,False
722,M,38,0,306,77,True
723,F,36,1,275,98,False
724,M,23,0,313,95,True
725,F,23,1,268,86,False
726,M,44,0,322,61,True
727,M,23,0,313,75,False
728,F,45,0,286,99,True
729,M,24,0,318,92,False
730,M,5,0,194,100,True
731,F,37,0,271,80,False
732,M,27,0,266,82,True
733,F,56,1,282,73,False
734,F,57,0,285,78,True
735,F,28,1,279,57,False
736,M,28,0,317,82,True
737,F,5,1,175,122,False
738,F,38,1,284,76,True
739,M,16,0,275,79,False
740,F,20,1,275,83,True
741,M,7,0,310,80,False
742,M,9,0,238,74,True
743,M,9,0,235,77,False
744,F,31,1,267,90,True
745,F,45,0,273,76,False
746,M,44,0,302,75,True
747,F,23,1,262,70,False
748,F,26,1,289,81,True
749,M,31,0,304,61,False
750,F,24,0,259,82,True
751,M,35,0,292,81,False
752,M,6,0,206,89,True
753,M,43,0,287,81,False
754,F,7,0,202,57,True
755,F,47,0,282,76,False
756,M,10,0,254,76,True
757,M,43,0,312,84,False
758,M,49,0,306,72,True
759,M,26,0,290,68,False
760,F,30,0,284,79,True
761,M,7,0,213,92,False
762,M,11,0,253,64,True
763,M,38,0,318,71,False
764,F,50,0,288,44,True
765,M,7,0,210,104,False
766,M,46,0,297,64,True
767,M,7,0,204,89,False
768,F,37,1,291,74,True
769,M,10,0,260,54,False
770,M,10,0,259,72,True
771,F,40,1,281,90,False
772,F,50,1,286,60,True
773,F,39,0,267,79,False
774,M,7,0,216,97,True
775,F,20,1,286,83,False
776,M,44,0,319,70,True
777,F,8,1,211,72,False
778,M,33,0,293,70,True
779,M,34,0,321,84,False
780,M,50,0,290,83,True
781,M,6,0,222,123,False
782,M,8,0,226,75,True
783,F,5,1,184,86,False
784,M,50,0,297,80,True
785,M,38,0,286,65,False
786,F,40,1,301,70,True
787,M,29,0,313,80,False
788,M,42,0,0,0,True
789,M,30,0,307,94,False
790,M,43,0,298,40,True
791,F,43,0,306,85,False
792,F,18,1,285,81,True
793,F,17,0,272,80,False
794,M,32,0,302,83,True
795,F,21,1,268,97,False
796,M,22,0,317,86,True
797,M,45,0,331,83,False
798,F,2,0,0,0,True
799,F,22,0,280,67,False
800,M,22,0,295,94,True
801,F,25,1,285,72,False
802,M,26,0,326,65,True
803,M,9,0,251,103,False
804,F,25,1,269,82,True
805,F,5,1,205,81,False
806,M,22,0,303,67,True
807,M,44,0,319,80,False
808,F,22,1,278,68,True
809,F,25,1,264,93,False
810,M,32,0,308,66,True
811,M,43,0,302,82,False
812,F,24,0,273,81,True
813,F,31,1,277,96,False
814,M,43,0,303,98,True
815,M,9,0,224,96,False
816,M,5,0,0,0,True
817,M,30,0,289,80,False
818,M,36,0,297,66,True
819,M,30,0,292,88,False
820,F,9,1,229,76,True
821,M,32,0,304,86,False
822,M,40,0,292,73,True
823,F,38,0,266,82,False
824,M,28,0,328,91,True
825,M,23,0,312,74,False
826,M,32,0,280,71,True
827,F,13,0,0,0,False
828,F,12,1,256,64,True
829,M,40,0,328,82,False
830,M,7,0,223,69,True
831,F,3,1,178,83,False
832,F,37,1,281,74,True
833,F,9,1,232,96,False
834,F,5,1,193,92,True
835,M,37,0,317,64,False
836,F,39,1,273,79,True
837,M,22,0,291,76,False
838,M,6,0,203,62,True
839,F,22,1,250,75,False
840,F,8,0,219,72,True
841,F,40,0,276,70,False
842,F,27,0,295,56,True
843,F,11,1,266,65,False
844,M,38,0,315,70,True
845,F,39,0,285,74,False
846,M,46,0,303,80,True
847,F,41,1,270,73,False
848,M,5,0,174,73,True
849,M,35,0,299,77,False
850,F,34,1,270,75,True
851,F,38,0,297,75,False
852,M,42,0,297,79,True
853,M,5,0,197,87,False
854,F,34,0,282,89,True
855,M,6,0,192,72,False
856,M,5,0,197,101,True
857,M,44,0,312,77,False
858,F,8,1,224,85,True
859,M,4,0,0,0,False
860,F,8,1,222,89,True
861,M,8,0,213,83,False
862,F,8,0,225,77,True
863,M,45,0,0,80,False
864,F,43,0,272,67,True
865,F,28,0,282,64,False
866,F,48,0,264,96,True
867,M,30,0,305,66,False
868,F,36,1,269,82,True
869,M,31,0,326,66,False
870,F,14,1,253,72,True
871,M,7,0,205,70,False
872,F,7,1,281,80,True
873,M,38,0,296,74,False
874,F,-,1,205,102,True
875,F,28,1,264,58,False
876,M,38,0,306,61,True
877,F,29,1,265,87,False
878,F,28,0,268,78,True
879,M,8,0,232,92,False
880,M,48,0,293,74,True
881,M,7,0,214,79,False
882,F,38,0,285,73,True
883,M,10,0,253,71,False
884,M,25,0,293,73,True
885,M,25,0,304,79,False
886,F,2,0,0,0,True
887,F,22,0,253,87,False
888,M,37,0,307,67,True
889,M,22,0,300,72,False
890,M,32,0,290,79,True
891,F,26,0,286,73,False
892,F,31,1,282,78,True
893,F,27,0,269,72,False
894,M,8,0,227,86,True
895,F,35,0,265,57,False
896,F,39,0,264,72,True
897,M,14,0,260,66,False
898,M,11,0,242,87,True
899,F,31,0,289,64,False
900,F,25,1,269,90,True
901,F,82,0,257,81,False
902,F,28,1,262,89,True
903,M,31,0,306,69,False
904,F,30,0,289,75,True
905,F,34,1,293,72,False
906,M,27,0,300,75,True
907,F,38,1,273,82,False
908,M,32,0,296,54,True
909,F,27,1,263,104,False
910,F,36,0,274,64,True
911,M,36,0,278,74,False
912,M,9,0,231,90,True
913,F,31,1,289,52,False
914,M,23,0,305,91,True
915,F,28,0,283,94,False
916,F,5,1,190,71,True
917,M,30,0,0,35,False
918,M,44,0,298,55,True
919,F,36,1,280,74,False
920,M,31,0,288,66,True
921,F,30,1,278,82,False
922,M,29,0,312,83,True
923,F,27,1,293,68,False
924,F,27,1,287,85,True
925,F,30,1,272,73,False
926,M,33,0,302,86,True
927,M,33,0,316,45,False
928,F,7,1,223,101,True
929,M,13,0,276,90,False
930,M,39,0,323,63,True
931,F,9,1,237,79,False
932,F,42,0,274,78,True
933,M,40,0,295,71,False
934,F,34,1,294,87,True
935,M,32,0,310,66,False
936,F,39,1,268,95,True
937,M,41,0,312,65,False
938,F,41,0,0,31,True
939,M,29,0,343,65,False
940,M,41,0,0,19,True
941,F,23,1,279,76,False
942,M,36,0,314,64,True
943,F,40,0,278,61,False
944,M,54,0,301,98,True
945,F,26,0,262,72,False
946,M,5,0,212,107,True
947,F,41,1,286,76,False
948,M,11,0,278,73,True
949,F,65,0,269,80,False
950,M,11,0,279,70,True
951,M,10,0,272,46,False
952,M,25,0,326,78,True
953,F,43,1,296,80,False
954,M,25,0,343,85,True
955,F,47,1,266,100,False
956,F,28,0,250,88,True
957,M,-,0,0,0,False
958,F,24,0,271,67,True
959,F,10,0,249,93,False
960,M,36,0,308,84,True
961,M,9,0,238,89,False
962,M,10,0,249,92,True
963,F,40,0,295,87,False
964,F,7,0,224,56,True
965,M,4,0,0,0,False
966,F,8,0,218,109,True
967,F,30,0,287,76,False
968,F,55,0,277,50,True
969,M,46,0,294,63,False
970,F,6,1,218,89,True
971,M,9,0,233,79,False
972,M,42,0,319,68,True
973,F,5,1,195,122,False
974,M,8,0,0,0,True
975,M,13,0,282,80,False
976,M,10,0,252,77,True
977,F,50,0,294,76,False
978,M,53,0,308,70,True
979,M,10,0,234,48,False
980,F,45,0,273,86,True
981,M,9,0,260,80,False
982,M,57,0,333,77,True
983,F,8,1,227,85,False
984,M,6,0,217,51,True
985,F,60,0,279,73,False
986,M,10,0,223,84,True
987,M,39,0,304,86,False
988,F,41,0,268,76,True
989,F,30,0,281,68,False
990,F,56,0,265,67,True
991,F,7,1,215,49,False
992,M,31,0,296,110,True
993,F,42,1,272,65,False
994,M,60,0,315,107,True
995,F,-,0,301,71,False
996,F,46,0,294,70,True
997,F,46,0,283,77,False
